2026-03-28T23:14:49Z,43203099.16960251,43203099.16960251,6374381.181093968,6374381.181093968,0
2026-03-28T23:16:36Z,43203099.16960251,43203099.16960251,6374381.181093968,6374381.181093968,0
2026-03-28T23:19:48Z,43203099.16960251,43203099.16960251,6374381.181093968,6374381.181093968,0
2026-03-28T23:31:38Z,43203099.16960251,43203099.16960251,6374381.181093968,6374381.181093968,0
2026-03-28T23:46:42Z,43202815.66844781,43202815.66844781,6371937.652472374,6371937.652472374,0
2026-03-29T00:01:46Z,43202815.66844781,43202815.66844781,6371937.652472374,6371937.652472374,0
2026-03-29T00:16:50Z,43202532.07041374,43202532.07041374,6369493.928939447,6369493.928939447,0
2026-03-29T00:31:53Z,43202532.07041374,43202532.07041374,6369493.928939447,6369493.928939447,0
2026-03-29T00:46:57Z,43202248.41246855,43202248.41246855,6367050.731009927,6367050.731009927,0
2026-03-29T01:02:01Z,43202248.41246855,43202248.41246855,6367050.731009927,6367050.731009927,0
2026-03-29T01:17:05Z,43201964.57852353,43201964.57852353,6364607.187032521,6364607.187032521,0
2026-03-29T01:32:09Z,43201964.57852353,43201964.57852353,6364607.187032521,6364607.187032521,0
2026-03-29T01:47:12Z,43201680.434683785,43201680.434683785,6362158.305945957,6362158.305945957,0
2026-03-29T02:02:16Z,43201680.434683785,43201680.434683785,6362158.305945957,6362158.305945957,0
2026-03-29T02:17:20Z,43201396.4465955,43201396.4465955,6359806.287451383,6359806.287451383,0
2026-03-29T02:32:24Z,43201396.4465955,43201396.4465955,6359806.287451383,6359806.287451383,0
2026-03-29T02:47:28Z,43201112.00004284,43201112.00004284,6357360.881768455,6357360.881768455,0
2026-03-29T03:02:32Z,43201112.00004284,43201112.00004284,6357360.881768455,6357360.881768455,0
2026-03-29T03:17:36Z,43200827.930037916,43200827.930037916,6354920.403718013,6354920.403718013,0
2026-03-29T03:32:40Z,43200827.930037916,43200827.930037916,6354920.403718013,6354920.403718013,0
2026-03-29T04:09:36Z,43200543.3590862,43200543.3590862,6368089.093157838,6368089.093157838,0
2026-03-29T04:24:40Z,43200225.46395868,43200225.46395868,6365102.850250317,6365102.850250317,0
2026-03-29T04:39:44Z,43200225.46395868,43200225.46395868,6365102.850250317,6365102.850250317,0
