2026-03-28T23:14:50Z,15989312.972440707,15989312.972440707,10798978.94680084,10798978.94680084,0
2026-03-28T23:16:36Z,15989312.972440707,15989312.972440707,10798978.94680084,10798978.94680084,0
2026-03-28T23:19:48Z,15989312.972440707,15989312.972440707,10798978.94680084,10798978.94680084,0
2026-03-28T23:31:38Z,15989312.972440707,15989312.972440707,10798978.94680084,10798978.94680084,0
2026-03-28T23:46:42Z,15989285.064629855,15989285.064629855,10793012.426154414,10793012.426154414,0
2026-03-29T00:01:46Z,15989285.064629855,15989285.064629855,10793012.426154414,10793012.426154414,0
2026-03-29T00:16:50Z,15989257.352051757,15989257.352051757,10786774.515059195,10786774.515059195,0
2026-03-29T00:31:54Z,15989257.352051757,15989257.352051757,10786774.515059195,10786774.515059195,0
2026-03-29T00:46:58Z,15989229.634205183,15989229.634205183,10780805.0167068,10780805.0167068,0
2026-03-29T01:02:02Z,15989229.634205183,15989229.634205183,10780805.0167068,10780805.0167068,0
2026-03-29T01:17:05Z,15989201.998019993,15989201.998019993,10774830.476779442,10774830.476779442,0
2026-03-29T01:32:09Z,15989201.998019993,15989201.998019993,10774830.476779442,10774830.476779442,0
2026-03-29T01:47:13Z,15989174.113933366,15989174.113933366,10768784.470865749,10768784.470865749,0
2026-03-29T02:02:17Z,15989174.113933366,15989174.113933366,10768784.470865749,10768784.470865749,0
2026-03-29T02:17:20Z,15989146.539855262,15989146.539855262,10762819.40642013,10762819.40642013,0
2026-03-29T02:32:24Z,15989146.539855262,15989146.539855262,10762819.40642013,10762819.40642013,0
